symbol,sex,statistic_diet,p.adj_diet
Setbp1,F,1.7516899,0.116
Setd7,F,1.624103139,0.152
Sf3b6,F,1.462940066,0.193
Sfmbt1,F,1.448359943,0.196
Sfmbt2,F,1.704742401,0.142
Sfxn1,F,1.960953034,0.103
Sgcb,F,1.774242761,0.134
Sh3bgrl,F,1.938722779,0.108
Sh3glb1,F,1.519644682,0.174
Sh3rf1,F,1.743284972,0.128
Shisa3,F,1.849867067,0.112
Shld3,F,1.558301332,0.151
Shoc2,F,1.764411593,0.126
Sim1,F,1.838604346,0.124
Sirpa,F,1.753658542,0.12
Sirt4,F,1.453933045,0.177
Ska2,F,1.472322898,0.176
Skap2,F,1.636078049,0.139
Skic3,F,1.869350561,0.103
Skint4,F,1.417914425,0.192
Skp1,F,1.71679646,0.143
Skp2,F,1.482716101,0.18
Sla,F,1.834545941,0.105
Slain2,F,1.649806071,0.134
Slc12a1,F,1.5990525,0.142
Slc13a3,F,1.483884156,0.176
Slc13a4,F,1.509305068,0.165
Slc16a11,F,-1.504892924,0.192
Slc16a3,F,-1.406866394,0.192
Slc16a9,F,1.667260967,0.131
Slc17a5,F,1.855698463,0.111
Slc17a6,F,1.822066703,0.123
Slc18a3,F,-1.663801777,0.127
Slc19a1,F,-1.526354476,0.17
Slc1a1,F,1.652625821,0.138
Slc1a3,F,1.626051923,0.151
Slc22a2,F,-1.53330273,0.17
Slc25a14,F,1.878169765,0.116
Slc25a15,F,1.459840061,0.181
Slc25a20,F,1.693747569,0.137
Slc25a28,F,-1.788899571,0.116
Slc25a3,F,1.876921127,0.114
Slc25a30,F,1.889714602,0.11
Slc25a33,F,1.719174507,0.138
Slc25a34,F,-1.460408126,0.182
Slc25a35,F,-1.684990483,0.128
Slc25a36,F,1.565795582,0.171
Slc25a46,F,1.568173142,0.173
Slc25a47,F,-1.52198718,0.161
Slc25a53,F,1.482465407,0.187
Slc27a5,F,-1.663286931,0.13
Slc2a3,F,1.507339456,0.169
Slc2a5,F,1.756436649,0.11
Slc30a2,F,1.724543426,0.115
Slc30a5,F,1.938315844,0.103
Slc30a9,F,1.856482132,0.117
Slc35a1,F,1.602246548,0.157
Slc35a3,F,1.630924554,0.153
Slc35a5,F,1.523790184,0.18
Slc35c1,F,-1.465083943,0.18
Slc35f1,F,1.721650066,0.133
Slc35f2,F,1.502289105,0.164
Slc35f3,F,1.568631088,0.163
Slc35f5,F,1.488697657,0.184
Slc35g2,F,1.901710884,0.104
Slc36a4,F,1.581478548,0.164
Slc38a1,F,1.704991583,0.131
Slc38a2,F,1.433979299,0.194
Slc39a10,F,1.866594575,0.118
Slc39a9,F,1.830984345,0.109
Slc45a2,F,-1.490450119,0.196
Slc4a7,F,1.749599439,0.136
Slc52a2,F,1.636462209,0.158
Slc6a15,F,1.60777501,0.166
Slc6a20a,F,1.4202911,0.189
Slc6a3,F,1.443375244,0.181
Slc7a14,F,1.560965557,0.159
Slc7a2,F,1.699444834,0.138
Slc9a6,F,1.690200031,0.147
Slco1c1,F,1.410795752,0.198
Slco5a1,F,1.591634007,0.148
Slfn8,F,1.585223876,0.149
Slfn9,F,1.466184811,0.186
Slirp,F,1.66606745,0.127
Slitrk4,F,1.694410781,0.142
Smad4,F,1.766496889,0.118
Smad5,F,1.452319656,0.196
Smc5,F,1.613139956,0.149
Smc6,F,1.4665208,0.196
Smcr8,F,1.590175436,0.145
Smim10l1,F,1.897274955,0.113
Smim15,F,1.887436467,0.105
Smim17,F,1.571021866,0.169
Smim30,F,1.839194865,0.107
Smim43,F,1.789866374,0.104
Smim5,F,-1.730976094,0.127
Smim7,F,1.923513593,0.1
Sms,F,1.644655334,0.159
Smu1,F,1.909914136,0.106
Smyd4,F,1.803807682,0.107
Snap23,F,1.647206334,0.154
Snap25,F,1.79793893,0.129
Snapc1,F,1.605623691,0.163
Snn,F,1.434482693,0.19
Snrnp27,F,1.416853008,0.199
Snrnp48,F,1.486791058,0.171
Snrpe,F,1.792790574,0.121
Snrpg,F,1.837315724,0.107
Sntb1,F,1.839404678,0.102
Snx10,F,1.691444452,0.144
Snx11,F,-1.489026992,0.17
Snx13,F,1.693733076,0.142
Snx25,F,1.634040194,0.147
Snx27,F,1.783757607,0.124
Snx30,F,1.838767314,0.101
Snx4,F,1.894719442,0.101
Snx5,F,1.829441344,0.123
Socs6,F,1.780896424,0.125
Sod2,F,1.689597597,0.146
Sorcs1,F,1.819332391,0.1
Sord,F,1.568362158,0.16
Sort1,F,1.659872942,0.132
Sox13,F,-1.704428979,0.129
Sox5,F,1.756893072,0.128
Sp100,F,1.491190286,0.172
Sp3,F,1.463520427,0.193
Sp4,F,1.791434713,0.123
Sp7,F,1.557935484,0.158
Sp8,F,1.712769442,0.139
Spag6l,F,1.539549961,0.157
Spast,F,1.803400409,0.125
Spata31f1c,F,1.45754697,0.182
Spats1,F,1.766784339,0.12
Spcs2,F,1.944953229,0.107
Spcs3,F,1.491923729,0.193
Spg11,F,1.486826144,0.182
Sphkap,F,1.936837151,0.105
Spire1,F,1.727190085,0.131
Spock3,F,1.700308609,0.145
Spop,F,1.512407733,0.178
Spopl,F,1.516229661,0.183
Sppl2a,F,1.609678612,0.161
Sppl3,F,1.631188622,0.14
Spred1,F,1.889082549,0.116
Spryd7,F,1.466999061,0.199
Srebf1,F,-1.634799158,0.159
Srf,F,-1.797667877,0.119
Srp19,F,1.460278169,0.19
Srp54a,F,1.719192499,0.137
Srp9,F,1.537043757,0.177
Srpk1,F,1.574967812,0.159
Srpr,F,1.851821899,0.115
Srsf1,F,1.76062317,0.131
Srsf10,F,1.812401565,0.121
Srsf5,F,1.79465056,0.118
Srsf6,F,1.529582394,0.175
Srsf7,F,1.571333293,0.172
Ss18l1,F,1.831035884,0.122
Ssc5d,F,-1.792437107,0.12
Sspn,F,1.662367196,0.129
Ssr1,F,1.877167414,0.104
Sstr5,F,-1.778807082,0.106
St13,F,1.850814377,0.119
St3gal6,F,1.891630806,0.1
St6gal2,F,1.708181401,0.135
St6galnac5,F,1.518754634,0.185
St7l,F,1.662124122,0.152
St8sia3,F,1.655683676,0.151
Stab2,F,1.711878925,0.124
Stag2,F,1.804781112,0.127
Stam,F,1.634269448,0.156
Stam2,F,1.614050358,0.158
Stambp,F,1.384667662,0.196
Stambp-ps1,F,1.649903261,0.13
Stard4,F,1.53921713,0.17
Stard7,F,1.648657022,0.147
Stau2,F,1.932828307,0.109
Stbd1,F,1.496493179,0.181
Steap3,F,1.48344508,0.172
Stk17b,F,1.48438159,0.192
Stmn2,F,1.778882606,0.134
Stom,F,1.819313478,0.103
Ston2,F,1.408237264,0.197
Stox2,F,1.77651349,0.115
Strap,F,1.651164256,0.156
Strn,F,1.830624543,0.109
Stt3a,F,1.580257194,0.163
Stx12,F,1.600383235,0.164
Stx17,F,1.80717112,0.117
Stx3,F,1.491864551,0.175
Stx7,F,1.915380142,0.108
Stxbp6,F,1.440662525,0.193
Sub1,F,1.607510002,0.162
Sumo1,F,1.763891648,0.134
Supt16,F,1.565506103,0.165
Supv3l1,F,1.751781747,0.115
Surf2,F,-1.66059173,0.144
Surf6,F,-1.692792035,0.142
Suz12,F,1.71016735,0.145
Sv2b,F,1.574864449,0.155
Sv2c,F,1.517809937,0.16
Svip,F,1.794652745,0.132
Svopl,F,1.622228125,0.137
Sybu,F,1.791936284,0.124
Syce2,F,-1.649508277,0.136
Sycp2,F,1.414578899,0.193
Syk,F,1.496114832,0.181
Syncrip,F,1.661085184,0.148
Syndig1,F,1.47234158,0.187
Syne1,F,1.37683999,0.199
Synj1,F,1.628393504,0.159
Synj2bp,F,1.724779333,0.131
Synrg,F,1.436399051,0.184
Sypl,F,1.446826734,0.198
Syt1,F,1.560625855,0.167
Syt14,F,1.502764059,0.175
Syt4,F,1.614506156,0.164
Tab3,F,1.533785447,0.176
Tacc1,F,1.533640358,0.158
Tacr1,F,1.688087447,0.124
Taf2,F,1.851929283,0.116
Tafa2,F,1.7379243,0.118
Tal2,F,-1.454997548,0.188
Tamm41,F,1.50147641,0.177
Tardbp,F,1.726315366,0.139
Tasor2,F,1.668583782,0.136
Tatdn2,F,-1.525661688,0.161
Tbc1d12,F,1.634084873,0.153
Tbc1d23,F,1.870218316,0.11
Tbc1d24,F,1.789312369,0.131
Tbc1d30,F,1.795774815,0.12
Tbc1d5,F,1.598121204,0.153
Tbc1d7,F,1.596111858,0.154
Tbcd,F,1.687689349,0.126
Tbl1x,F,1.756937097,0.133
Tbx1,F,-1.840842707,0.109
Tbx6,F,-1.799587389,0.105
Tcaf1,F,1.661669204,0.151
Tcea1,F,1.613774759,0.159
Tceanc,F,1.643263752,0.133
Tcf12,F,1.850801137,0.116
Tcf19,F,-1.503157006,0.177
Tcf3,F,-1.522363445,0.187
Tcim,F,1.615840761,0.156
Tcp1,F,1.539862932,0.179
Tcp10b,F,-1.71526608,0.143
Tcp11,F,-1.397393073,0.193
Tcp11l1,F,1.622739758,0.136
Tcp11l2,F,1.448483521,0.194
Tcta,F,1.760164681,0.109
Tdg,F,1.774242048,0.117
Tdp1,F,1.765272891,0.117
Tek,F,1.483986414,0.169
Tekt4,F,-1.63561444,0.135
Tent4b,F,1.502899686,0.184
Terf1,F,1.684239314,0.14
Tex51,F,-1.617213052,0.141
Tfap4,F,-1.590899638,0.15
Tfb1m,F,1.526553732,0.167
Tfdp1,F,1.71059474,0.131
Tfrc,F,1.482491811,0.175
Tgfbi,F,1.718248468,0.117
Tgm3,F,1.771977199,0.107
Tgoln1,F,1.643999759,0.158
Tgs1,F,1.559035578,0.166
Thap1,F,1.729831721,0.125
Thap2,F,1.493362097,0.181
Them4,F,1.900682506,0.113
Thoc2l,F,1.649717444,0.134
Thoc7,F,1.582610834,0.163
Thrb,F,1.795160623,0.104
Thsd4,F,1.501180268,0.175
Thumpd1,F,1.784154483,0.131
Tiam1,F,1.515811008,0.161
Tifa,F,1.804381973,0.108
Tigd2,F,1.799991034,0.117
Timm8a1,F,1.528571288,0.174
Tincr,F,-1.566064805,0.155
Tipin,F,1.543354233,0.161
Tlcd4,F,1.711817756,0.141
Tlk1,F,1.518874243,0.179
Tlk2,F,1.554420621,0.17
Tll2,F,1.557184761,0.152
Tln2,F,1.496326779,0.165
Tm2d1,F,1.784773293,0.115
Tm9sf2,F,1.481338931,0.197
Tm9sf3,F,1.541326247,0.181
Tmc4,F,-1.432550424,0.197
Tmc8,F,-1.762881336,0.128
Tmco4,F,-1.573795688,0.158
Tmed4,F,1.56731087,0.17
Tmed7,F,1.674280051,0.152
Tmed8,F,1.62739055,0.157
Tmem106b,F,1.820413307,0.124
Tmem108,F,1.782359517,0.112
Tmem11,F,-1.48989613,0.181
Tmem114,F,-1.731500821,0.141
Tmem126b,F,1.745561387,0.132
Tmem135,F,1.836780399,0.118
Tmem164,F,1.543478125,0.154
Tmem168,F,1.716319098,0.14
Tmem170,F,1.499607694,0.175
Tmem183a,F,1.68574248,0.151
Tmem184c,F,1.618366487,0.164
Tmem216,F,1.557811858,0.159
Tmem218,F,1.849704763,0.115
Tmem243,F,1.659288774,0.136
Tmem252,F,1.665644204,0.127
Tmem255b,F,1.693059044,0.138
Tmem30a,F,1.700888575,0.145
Tmem39a,F,1.810349834,0.121
Tmem41b,F,1.556163794,0.177
Tmem47,F,1.745908387,0.139
Tmem50a,F,1.421877036,0.199
Tmem50b,F,1.604608921,0.156
Tmem59,F,1.948745141,0.104
Tmem65,F,1.71247522,0.143
Tmem68,F,1.699394055,0.137
Tmem70,F,1.662613736,0.15
Tmem74,F,1.787413284,0.122
Tmem74bos,F,-1.795749984,0.111
Tmem86a,F,-1.515475989,0.167
Tmem87a,F,1.768052893,0.134
Tmem87b,F,1.715927612,0.136
Tmod3,F,1.695613866,0.128
Tmprss6,F,-1.689544205,0.134
Tmsb15b1,F,1.525356845,0.165
Tmsb4x,F,1.883772859,0.109
Tmtc3,F,1.633784531,0.153
Tmx2,F,1.74043592,0.123
Tmx3,F,1.679499076,0.15
Tmx4,F,1.641566195,0.159
Tnfaip6,F,1.49736665,0.169
Tnfrsf12a,F,-1.696390861,0.137
Tnik,F,1.532080397,0.17
Tnip2,F,-1.626472412,0.145
Tnks,F,1.792395517,0.111
Tnks1bp1,F,-1.482605789,0.198
Tnks2,F,1.558538627,0.173
Tnnt2,F,-1.766140336,0.124
Tnpo2,F,1.423244012,0.197
Tnpo3,F,1.679247514,0.147
Tnrc6a,F,1.809366078,0.102
Toe1,F,-1.505531086,0.177
Tomm20,F,1.80698315,0.123
Tomm70a,F,1.608219371,0.163
Tor1b,F,1.585825791,0.162
Tox3,F,1.963010654,0.101
Tpd52,F,1.902910173,0.105
Tpm3,F,1.389996155,0.198
Tpp2,F,1.79915141,0.125
Tppp,F,1.782602823,0.127
Tprgl,F,1.825571761,0.125
Tpt1,F,1.610989732,0.156
Tra2b,F,1.71138884,0.134
Trank1,F,1.482448922,0.17
Trappc10,F,1.419951862,0.186
Trerf1,F,1.639535009,0.134
Tril,F,1.427320625,0.189
Trim11,F,-1.447000783,0.197
Trim23,F,1.590409007,0.166
Trim32,F,1.65010784,0.155
Trim33,F,1.534365978,0.165
Trim34a,F,1.597849181,0.143
Trim35,F,1.542010897,0.161
Trim37,F,1.925380393,0.108
Trim43c,F,1.822124814,0.1
Trim45,F,1.521611788,0.164
Trim7,F,1.765076345,0.109
Trim9,F,1.600672021,0.147
Trio,F,1.635223692,0.136
Trip12,F,1.752343259,0.122
Trip6,F,-1.642887672,0.142
Trmt10b,F,1.452504455,0.19
Trmt112-ps2,F,-1.838164727,0.118
Trnt1,F,1.653730044,0.151
Tro,F,1.726775666,0.123
Trp53bp2,F,1.424081778,0.187
Trp53inp1,F,1.704955392,0.137
Trpc1,F,1.577252488,0.164
Trpc5,F,1.786955218,0.106
Trpc7,F,1.562220368,0.159
Trpm7,F,1.780455175,0.125
Trub1,F,1.564305231,0.161
Tsc2,F,1.860938506,0.1
Tsga10,F,1.858189978,0.113
Tshz1,F,1.569559591,0.166
Tsn,F,1.742959864,0.13
Tsnax,F,1.552109977,0.165
Tsnaxip1,F,1.407199822,0.193
Tspan11,F,-1.826991729,0.104
Tspan12,F,1.786615395,0.131
Tspan2,F,1.791656947,0.126
Tspan3,F,1.584714543,0.167
Tspan5,F,1.845571838,0.1
Tspan6,F,1.675125747,0.149
Tspyl1,F,1.763589322,0.128
Tspyl2,F,-1.549110365,0.177
Tsr1,F,1.742009559,0.129
Tsr2,F,1.521723763,0.179
Tssc4,F,-1.594098811,0.168
Tssk6,F,-1.584874742,0.157
Ttc1,F,1.650829922,0.147
Ttc9c,F,1.774835064,0.13
Tube1,F,1.725301968,0.118
Tubgcp5,F,1.863253871,0.116
Tulp1,F,-1.861598425,0.1
Tvp23b,F,1.488793934,0.19
Txlnb,F,1.623526264,0.137
Txndc15,F,1.707673958,0.135
Txnl1,F,1.612353251,0.165
Txnrd1,F,1.465489806,0.177
Tyw1,F,1.750165391,0.111
U2surp,F,1.790611372,0.117
Uba3,F,1.799193277,0.124
Uba6,F,1.673074893,0.15
Ubac1,F,1.423249443,0.186
Ube2b,F,1.85943136,0.114
Ube2d1,F,1.573493828,0.161
Ube2d2a,F,1.69448201,0.149
Ube2d3,F,1.811912743,0.127
Ube2e2,F,-1.880751126,0.112
Ube2f,F,1.798990797,0.122
Ube2h,F,1.649916187,0.149
Ube2j1,F,1.532254196,0.18
Ube2j2,F,-1.610998488,0.155
Ube2k,F,1.710882743,0.138
Ube2l6,F,1.715154755,0.118
Ube2n,F,1.722204676,0.143
Ube2r2,F,1.444038466,0.182
Ube2v2,F,1.612176498,0.166
Ube2w,F,1.764998605,0.136
Ube4a,F,1.94764988,0.103
Ublcp1,F,1.966914681,0.102
Ubxn1,F,-1.483043461,0.191
Ubxn10,F,1.447976117,0.188
Ubxn8,F,1.628455507,0.16
Ufsp2,F,1.749966758,0.124
Ugcg,F,1.601227369,0.16
Ugp2,F,1.683646575,0.15
Uhrf2,F,1.50907805,0.173
Unc13c,F,1.663546029,0.131
Unc5d,F,1.597863022,0.142
Unc79,F,1.750781725,0.113
Ung,F,-1.403908596,0.198
Upb1,F,1.479204087,0.171
Uqcc4,F,1.598421121,0.154
Uqcrc2,F,1.707602898,0.143
Uqcrfs1,F,1.600558901,0.167
Uqcrh,F,1.761138809,0.126
Uri1,F,1.625182477,0.155
Uso1,F,1.711425049,0.14
Usp1,F,1.698466421,0.139
Usp14,F,1.75673208,0.138
Usp16,F,1.816675082,0.115
Usp22,F,1.912631966,0.107
Usp24,F,1.612476996,0.154
Usp25,F,1.556855203,0.168
Usp27x,F,1.796674807,0.118
Usp3,F,1.488789038,0.171
Usp33,F,1.888074142,0.114
Usp39,F,1.771933553,0.109
Usp40,F,1.681927874,0.139
Usp42,F,1.434042872,0.187
Usp45,F,1.682210085,0.149
Usp47,F,1.761276128,0.13
Usp49,F,-1.430033323,0.189
Usp7,F,1.61829363,0.14
Ust,F,1.793198979,0.104
Utp18,F,1.679702118,0.139
Utp23,F,1.549201218,0.153
Utp6,F,1.49400966,0.171
Vamp3,F,1.768495594,0.124
Vat1l,F,1.757070517,0.133
Vax1,F,-1.567434517,0.17
Vbp1,F,1.859855727,0.118
Vcp,F,1.668182226,0.147
Vdac1,F,1.883834646,0.108
Vdac3,F,1.84100032,0.122
Vil1,F,-1.390937396,0.195
Virma,F,1.624560776,0.143
Vldlr,F,1.882228162,0.111
Vma21,F,1.65815578,0.153
Vmac,F,1.579866405,0.152
Vmn1r168,F,1.594652742,0.152
Vmn1r181,F,1.567931996,0.152
Vmn1r198,F,1.533744538,0.178
Vmn1r218,F,1.459675077,0.185
Vmn1r61,F,1.589498988,0.143
Vmn1r86,F,1.781260133,0.123
Vmn2r114,F,1.716722244,0.125
Vmn2r124,F,1.454669923,0.177
Vmn2r22,F,1.567811892,0.165
Vmn2r25,F,1.822148757,0.107
Vmn2r59,F,1.692212084,0.123
Vmn2r66,F,1.534402586,0.181
Vmn2r7,F,-1.479398443,0.198
Vmn2r87,F,1.445802907,0.195
Vmp1,F,1.520275336,0.187
Vopp1,F,1.5262776,0.172
Vps26b,F,1.546323151,0.174
Vps35,F,1.74743382,0.138
Vps37b,F,-1.504967447,0.185
Vps54,F,1.548657499,0.167
Vsnl1,F,1.683154842,0.148
Vstm2a,F,1.486481926,0.191
Vstm5,F,1.74906829,0.124
Wapl,F,1.612214563,0.152
Was,F,1.554514747,0.153
Wasf3,F,1.610977886,0.157
Washc1,F,-1.781850402,0.12
Wasl,F,1.963619282,0.105
Wdfy1,F,1.668904242,0.137
Wdr17,F,1.891323078,0.102
Wdr24,F,1.466285613,0.184
Wdr37,F,1.538976446,0.178
Wdr45,F,1.746511004,0.131
Wdr53,F,-1.476088967,0.181
Wdr73,F,1.800891545,0.103
Wdr76,F,1.739260763,0.116
Wdr91,F,-1.571187597,0.148
Wipf1,F,1.568088398,0.153
Wnt2b,F,1.760174628,0.121
Wsb2,F,1.50091804,0.175
Xaf1,F,1.855858665,0.1
Xbp1,F,1.829772838,0.105
Xlr4c,F,1.635768368,0.138
Xpnpep3,F,1.814772977,0.104
Xpo4,F,1.830063622,0.1
Xpo5,F,1.546693971,0.155
Xpo6,F,1.453613806,0.177
Xrcc3,F,-1.471448831,0.193
Yaf2,F,1.481557465,0.191
Yap1,F,1.564139717,0.149
Yars,F,1.88146231,0.1
Yars2,F,1.485167494,0.169
Ybx3,F,1.705242412,0.142
Yipf4,F,1.686983419,0.15
Yju2b,F,-1.580894793,0.16
Yme1l1,F,1.609181958,0.163
Yod1,F,1.68023811,0.139
Ypel5,F,1.755026712,0.135
Ythdf1,F,1.67705813,0.137
Ythdf3,F,1.923907958,0.108
Ywhab,F,1.804437163,0.124
Ywhaq,F,1.916596945,0.111
Ywhaz,F,1.472608685,0.193
Zbtb10,F,1.488567913,0.178
Zbtb14,F,1.771434778,0.117
Zbtb20,F,1.595470108,0.144
Zbtb6,F,1.77058066,0.124
Zbtb7b,F,-1.657691516,0.152
Zc2hc1a,F,1.850179256,0.117
Zc3h14,F,1.870566116,0.111
Zc3h15,F,1.774032538,0.13
Zc3h8,F,1.698718236,0.135
Zc3hav1l,F,1.857944007,0.1
Zc4h2,F,1.707499525,0.138
Zdhhc17,F,1.926192695,0.109
Zdhhc2,F,1.628288098,0.161
Zdhhc9,F,1.439370779,0.194
Zfand1,F,1.663203081,0.143
Zfand3,F,1.444465768,0.192
Zfand4,F,1.866009826,0.101
Zfp1006,F,1.717510002,0.141
Zfp1007,F,1.674602098,0.138
Zfp109,F,1.70607791,0.126
Zfp133-ps,F,1.500884082,0.165
Zfp157,F,1.699032187,0.139
Zfp160,F,1.4319043,0.196
Zfp180,F,1.621187952,0.145
Zfp182,F,1.824177777,0.119
Zfp2,F,1.727978826,0.142
Zfp202,F,1.603336697,0.16
Zfp229,F,1.43446255,0.193
Zfp24,F,1.815796713,0.123
Zfp263,F,1.634721062,0.15
Zfp266,F,1.921816137,0.102
Zfp275,F,1.549912584,0.178
Zfp277,F,1.657253865,0.153
Zfp282,F,-1.797721328,0.112
Zfp292,F,1.477832962,0.178
Zfp296,F,-1.48725255,0.183
Zfp322a,F,1.489460639,0.18
Zfp330,F,1.753604716,0.126
Zfp365,F,1.890702373,0.107
Zfp367,F,1.541759211,0.172
Zfp36l2,F,1.866037816,0.102
Zfp383,F,1.678853713,0.142
Zfp386,F,1.790368532,0.126
Zfp397,F,1.733450348,0.134
Zfp41,F,1.409877244,0.191
Zfp410,F,1.417661752,0.187
Zfp422,F,1.584221678,0.157
Zfp446,F,1.801267912,0.122
Zfp451,F,1.737403556,0.133
Zfp455,F,1.615069293,0.138
Zfp488,F,1.692010449,0.139
Zfp512,F,1.592481383,0.16
Zfp518a,F,1.767089667,0.12
Zfp518b,F,1.651692728,0.132
Zfp53,F,1.420543917,0.199
Zfp532,F,1.543349402,0.154
Zfp551,F,1.447846344,0.18
Zfp553,F,-1.409098031,0.197
Zfp574,F,-1.531627719,0.175
Zfp606,F,1.911165601,0.112
Zfp607b,F,1.540769171,0.184
Zfp612,F,1.68986458,0.146
Zfp617,F,1.923468872,0.11
Zfp618,F,1.646982395,0.134
Zfp626,F,1.464889245,0.192
Zfp638,F,1.907584966,0.111
Zfp644,F,1.604788469,0.165
Zfp646,F,-1.644130918,0.132
Zfp65,F,1.578891659,0.164
Zfp658,F,1.519479335,0.16
Zfp687,F,-1.478137766,0.184
Zfp697,F,1.440525121,0.182
Zfp711,F,1.633187522,0.159
Zfp715,F,1.648140255,0.153
Zfp780b,F,1.488917243,0.178
Zfp786,F,1.649718665,0.135
Zfp787,F,-1.418111007,0.193
Zfp799,F,1.734491921,0.127
Zfp866,F,1.736482708,0.134
Zfp873,F,1.821632865,0.1
Zfp92,F,1.636722354,0.142
Zfp933,F,1.536614398,0.169
Zfp942,F,1.920777127,0.109
Zfp946,F,1.690475444,0.14
Zfp953,F,1.561321495,0.163
Zfp955a,F,1.69736064,0.137
Zfp959,F,1.477989636,0.183
Zfp960,F,1.727714474,0.124
Zfp964,F,1.455281941,0.197
Zfp966,F,1.857305129,0.115
Zfp97,F,1.463930223,0.196
Zfp971,F,1.599358546,0.145
Zfp983,F,1.702386336,0.146
Zfp994,F,1.566688911,0.171
Zfr,F,1.968123241,0.102
Zfyve16,F,1.831668493,0.118
Zhx1,F,1.910517349,0.111
Zkscan7,F,1.574342315,0.156
Zkscan8,F,1.594989074,0.163
Zmat1,F,1.501234795,0.188
Zmat4,F,1.837691686,0.102
Zmat5,F,-1.519378872,0.182
Zmym2,F,1.477080847,0.189
Zmynd11,F,1.894068916,0.106
Znhit3,F,1.425734384,0.195
Zranb2,F,1.538904155,0.179
Zrsr2,F,1.576499744,0.164
Zrsr2-ps1,F,-1.691184157,0.133
Zscan25,F,-1.824576173,0.115
Zswim4,F,-1.568761188,0.163
Zzef1,F,1.800813859,0.104
Zzz3,F,1.774280393,0.121
mt-Nd3,F,1.896424682,0.108
mt-Nd4l,F,1.658850841,0.142
1500009L16Rik,F,2.081632673,0.086
1700019D03Rik,F,2.255107149,0.065
1700025G04Rik,F,1.965338784,0.08
1700086L19Rik,F,2.194089831,0.06
2010315B03Rik,F,2.192887676,0.068
2310057M21Rik,F,1.992294757,0.089
5730507C01Rik,F,2.185389129,0.054
6330403K07Rik,F,2.068190621,0.081
6330409D20Rik,F,-2.018319562,0.082
9330102E08Rik,F,2.132953958,0.059
9930021J03Rik,F,2.313977211,0.055
A630089N07Rik,F,2.065289458,0.084
A830018L16Rik,F,1.944141387,0.096
Abca8b,F,1.872649092,0.097
Abca9,F,2.170408449,0.055
Abcc6,F,1.966040035,0.084
Abcd2,F,2.06943969,0.092
Abraxas2,F,1.91763517,0.099
Acadsb,F,2.139283575,0.08
Accs,F,2.216904559,0.051
Acot3,F,-1.985178534,0.076
Acot9,F,2.075642097,0.087
Acp2,F,1.921550808,0.098
Acss1,F,1.880090546,0.091
Actl6a,F,2.185849017,0.054
Actmap,F,2.06454579,0.066
Acvr1,F,2.081488747,0.065
Acyp1,F,2.256139297,0.071
Acyp2,F,2.165162689,0.07
Adam17,F,2.040323573,0.069
Adam19,F,2.041288557,0.069
Adamts19,F,1.93396757,0.09
Adck1,F,1.909925635,0.09
Adcy10,F,-2.151589651,0.058
Adcyap1,F,2.038932426,0.086
Add3,F,2.295357846,0.056
Adgb,F,1.865502028,0.092
Adk,F,2.177609939,0.076
Ado,F,2.47273851,0.051
Adss,F,2.023462833,0.09
Afap1,F,2.344775085,0.054
Aff3,F,1.924300747,0.084
Afg1l,F,2.085568805,0.064
Aftph,F,2.227966129,0.071
Agk,F,2.374472359,0.052
Agl,F,2.221834758,0.062
Ago1,F,2.309059702,0.059
Ago2,F,2.247810562,0.05
Agtpbp1,F,1.880211468,0.094
Ahnak,F,2.220792652,0.051
Aida,F,1.962958029,0.099
Aifm1,F,1.899810121,0.087
Aig1,F,2.233033339,0.059
Akap11,F,2.154275611,0.07
Akap13,F,2.161982899,0.06
Akr1c14,F,1.825710379,0.098
Akr1e1,F,2.185548532,0.071
Akt3,F,2.203505084,0.063
Aldh16a1,F,-2.056805301,0.078
Aldh3a2,F,1.881779261,0.09
Aldh5a1,F,1.990069304,0.092
Aldh9a1,F,1.98076306,0.088
Aldob,F,1.863254441,0.093
Alg11,F,2.149862892,0.072
Alg8,F,1.851929292,0.094
Alms1,F,2.151314484,0.061
Alox8,F,-1.961691951,0.079
Alyref2,F,2.17926803,0.056
Amn1,F,1.962072629,0.086
Anapc10,F,2.194646642,0.053
Anapc4,F,1.989407544,0.088
Angel2,F,2.002841158,0.089
Ank,F,2.122060985,0.078
Ankdd1a,F,2.040108891,0.073
Ankef1,F,2.054359447,0.067
Ankra2,F,1.9827227,0.097
Ankrd17,F,1.898820674,0.096
Ankrd28,F,2.031882089,0.087
Ankrd49,F,1.990362955,0.084
Ano6,F,1.862078536,0.098
Anp32e,F,1.985303393,0.092
Anxa4,F,2.165410165,0.056
Aoc3,F,2.015073309,0.072
Aopep,F,2.055063537,0.067
Ap1ar,F,1.900110373,0.098
Ap1g1,F,2.323151739,0.066
Ap2b1,F,2.307982292,0.062
Ap3m1,F,2.062274458,0.085
Apaf1,F,2.005939354,0.097
Aph1c,F,2.384390599,0.054
Apoa2,F,-1.987215184,0.099
Aqr,F,1.995016832,0.094
Arglu1,F,2.37743745,0.054
Arhgap12,F,2.209255965,0.071
Arhgap42,F,1.995577828,0.092
Arhgap45,F,-2.261820037,0.05
Arhgap5,F,2.145675705,0.08
Arhgef12,F,2.027573723,0.071
Arhgef3,F,1.961323997,0.089
Arhgef7,F,2.057257029,0.067
Arid5b,F,2.170343152,0.069
Arl11,F,-2.328049136,0.056
Arl16,F,-2.022046947,0.071
Armc8,F,2.197766043,0.075
