"sex","timepoint","metric","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Female","week 10","shannon","fixed",NA,"dietHFHS",0.0540481037654839,0.162776849277308,0.332038026325273,17.2659774900735,0.743857312002498,-0.288978465561452,0.39707467309242,0.332038026325273,0.00488508182084488,NA,0.743857312002498,"diet"
"Female","week 10","shannon","ran_pars","dam_cage","sd__(Intercept)",7.48174871328933e-06,NA,NA,NA,NA,NA,NA,NA,0.00488508182084488,NA,NA,"diet"
"Female","week 10","shannon","ran_pars","cohort","sd__(Intercept)",0.0472109559079208,NA,NA,NA,NA,NA,NA,NA,0.00488508182084488,NA,NA,"diet"
"Female","week 10","shannon","ran_pars","Residual","sd__Observation",0.393996955788539,NA,NA,NA,NA,NA,NA,NA,0.00488508182084488,NA,NA,"diet"
"Female","week 10","simpson","fixed",NA,"dietHFHS",-0.00985118264632915,0.0154538555134223,-0.63745792354361,21.9999999998673,0.530405512309615,-0.041900517390907,0.0221981520982487,-0.63745792354361,0.0173607828250043,NA,0.530405512309615,"diet"
"Female","week 10","simpson","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0173607828250043,NA,NA,"diet"
"Female","week 10","simpson","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0173607828250043,NA,NA,"diet"
"Female","week 10","simpson","ran_pars","Residual","sd__Observation",0.0378540605665812,NA,NA,NA,NA,NA,NA,NA,0.0173607828250043,NA,NA,"diet"
"Female","week 10","chao1","fixed",NA,"dietHFHS",22.1679563492063,23.0698903970765,0.96090427685844,21.9999999999887,0.347043253002564,-25.6760680247898,70.0119807232024,0.96090427685844,0.0385956619745219,NA,0.347043253002564,"diet"
"Female","week 10","chao1","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0385956619745219,NA,NA,"diet"
"Female","week 10","chao1","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0385956619745219,NA,NA,"diet"
"Female","week 10","chao1","ran_pars","Residual","sd__Observation",56.509459894771,NA,NA,NA,NA,NA,NA,NA,0.0385956619745219,NA,NA,"diet"
"Female","week 5","shannon","fixed",NA,"dietHFHS",0.271337483806912,0.224529153798293,1.2084732838332,6.60350304537416,0.268353371898714,-0.266120854642685,0.808795822256509,1.2084732838332,0.0965378985326063,0.641829279381768,0.268353371898714,"diet"
"Female","week 5","shannon","ran_pars","dam_cage","sd__(Intercept)",0.277528885013437,NA,NA,NA,NA,NA,NA,NA,0.0965378985326063,0.641829279381768,NA,"diet"
"Female","week 5","shannon","ran_pars","cohort","sd__(Intercept)",0.177380219210933,NA,NA,NA,NA,NA,NA,NA,0.0965378985326063,0.641829279381768,NA,"diet"
