"family","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"Bacteroidaceae","fixed",NA,"dietHFHS",0.0372129278842112,0.064252353702615,0.57916832208898,21.0233615222992,0.568630070345774,-0.0963981160312209,0.170823971799643,0.349679820745069,0.478629426909904,1
"Bacteroidaceae","fixed",NA,"treatmentFOS+GOS",0.198239762417263,0.0645213864286317,3.07246594331229,21.0038715541521,0.00577693754705219,0.0640616998759426,0.332417824958584,0.349679820745069,0.478629426909904,0.0231077501882088
"Bacteroidaceae","fixed",NA,"treatmentB. longum APC1472",-0.0240924988041276,0.0644125635989268,-0.374034155108974,21.44637794026,0.71205132247727,-0.157876196321709,0.109691198713453,0.349679820745069,0.478629426909904,1
"Bacteroidaceae","ran_pars","cohort","sd__(Intercept)",0.0591347738439278,NA,NA,NA,NA,NA,NA,0.349679820745069,0.478629426909904,NA
"Bacteroidaceae","ran_pars","Residual","sd__Observation",0.118906662075364,NA,NA,NA,NA,NA,NA,0.349679820745069,0.478629426909904,NA
"Lachnospiraceae","fixed",NA,"dietHFHS",0.149854728553209,0.0536835192644659,2.7914475542292,23.9999999996289,0.0101282817390745,0.0390573903600572,0.260652066746362,0.285127195631727,NA,0.0359375462300296
"Lachnospiraceae","fixed",NA,"treatmentFOS+GOS",-0.141201407177853,0.0536835192644659,-2.63025615891983,23.9999999996289,0.0146640142108961,-0.251998745371005,-0.0304040689847007,0.285127195631727,NA,0.0359375462300296
"Lachnospiraceae","fixed",NA,"treatmentB. longum APC1472",-0.0544158719860441,0.0536835192644659,-1.01364204008255,23.9999999996279,0.320864207008182,-0.165213210179197,0.0563814662071084,0.285127195631727,NA,0.320864207008182
"Lachnospiraceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.285127195631727,NA,NA
"Lachnospiraceae","ran_pars","Residual","sd__Observation",0.100432668201955,NA,NA,NA,NA,NA,NA,0.285127195631727,NA,NA
"Akkermansiaceae","fixed",NA,"dietHFHS",0.022395451261235,0.0438731925743581,0.510458663870387,23.9999999991628,0.614393376422275,-0.0681543677871792,0.112945270309649,0.308403914942538,NA,0.614393376422275
"Akkermansiaceae","fixed",NA,"treatmentFOS+GOS",0.0622846130817533,0.0438731925743581,1.41965080330525,23.9999999991628,0.168568789661192,-0.028265205966661,0.152834432130167,0.308403914942538,NA,0.505706368983575
"Akkermansiaceae","fixed",NA,"treatmentB. longum APC1472",0.114865512565676,0.0438731925743581,2.61812523378592,23.999999999138,0.0150731577167173,0.024315693517257,0.205415331614095,0.308403914942538,NA,0.0602926308668692
"Akkermansiaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.308403914942538,NA,NA
"Akkermansiaceae","ran_pars","Residual","sd__Observation",0.0820792275386014,NA,NA,NA,NA,NA,NA,0.308403914942538,NA,NA
"Muribaculaceae","fixed",NA,"dietHFHS",-0.120512910503316,0.0381676812909519,-3.15745956859804,23.9999999994783,0.00425651071314983,-0.199287133020479,-0.0417386879861532,0.465306502704159,NA,0.00851302142629967
"Muribaculaceae","fixed",NA,"treatmentFOS+GOS",0.151008004044461,0.0381676812909519,3.95643641261118,23.9999999994783,0.000588182282313739,0.0722337815272975,0.229782226561624,0.465306502704159,NA,0.00176454684694122
"Muribaculaceae","fixed",NA,"treatmentB. longum APC1472",0.0142436328239017,0.0381676812909519,0.373185699055771,23.9999999993068,0.712286175319588,-0.0645305896932911,0.0930178553410946,0.465306502704159,NA,0.712286175319588
"Muribaculaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.465306502704159,NA,NA
"Muribaculaceae","ran_pars","Residual","sd__Observation",0.0714051933191618,NA,NA,NA,NA,NA,NA,0.465306502704159,NA,NA
"Oscillospiraceae","fixed",NA,"dietHFHS",0.0863179682365768,0.0286061871642903,3.01745799748977,21.1609677162521,0.00651743333721399,0.0268556876997962,0.145780248773357,0.485970261371907,0.544219106426848,0.019552300011642
"Oscillospiraceae","fixed",NA,"treatmentFOS+GOS",-0.119550573355989,0.0287154135511502,-4.16328927817932,21.3647929001352,0.000426435782648369,-0.179205520329199,-0.059895626382778,0.485970261371907,0.544219106426848,0.00170574313059348
"Oscillospiraceae","fixed",NA,"treatmentB. longum APC1472",0.00442810185568844,0.0286329110015977,0.154650774259081,21.4231910003034,0.878544381046469,-0.055045755748496,0.0639019594598729,0.485970261371907,0.544219106426848,0.878544381046469
"Oscillospiraceae","ran_pars","cohort","sd__(Intercept)",0.0190009334869354,NA,NA,NA,NA,NA,NA,0.485970261371907,0.544219106426848,NA
"Oscillospiraceae","ran_pars","Residual","sd__Observation",0.053150742530576,NA,NA,NA,NA,NA,NA,0.485970261371907,0.544219106426848,NA
"Lactobacillaceae","fixed",NA,"dietHFHS",-0.0673068183080275,0.0311596024775237,-2.16006665542597,21.2413035490111,0.0423415585541753,-0.132061965176162,-0.00255167143989297,0.275048704025267,0.363138027042413,0.127024675662526
"Lactobacillaceae","fixed",NA,"treatmentFOS+GOS",-0.0188733425747605,0.031281291764883,-0.603342813225767,21.4116136150243,0.552619038715051,-0.0838502871551042,0.0461036020055832,0.275048704025267,0.363138027042413,0.752160661578512
"Lactobacillaceae","fixed",NA,"treatmentB. longum APC1472",-0.0281937448349328,0.031192596719332,-0.90386013991132,21.5125940584553,0.376080330789256,-0.0929683144157761,0.0365808247459106,0.275048704025267,0.363138027042413,0.752160661578512
"Lactobacillaceae","ran_pars","cohort","sd__(Intercept)",0.0215227485847879,NA,NA,NA,NA,NA,NA,0.275048704025267,0.363138027042413,NA
"Lactobacillaceae","ran_pars","Residual","sd__Observation",0.0578707026317091,NA,NA,NA,NA,NA,NA,0.275048704025267,0.363138027042413,NA
"Bifidobacteriaceae","fixed",NA,"dietHFHS",-0.197889834311755,0.024814333391325,-7.97481968147233,23.999999999786,3.3369586877992e-08,-0.249104101305893,-0.146675567317617,0.76108379441926,NA,1.00108760633976e-07
"Bifidobacteriaceae","fixed",NA,"treatmentFOS+GOS",0.0950210817688842,0.024814333391325,3.8292820633297,23.999999999786,0.000810207423749918,0.043806814774746,0.146235348763022,0.76108379441926,NA,0.00162041484749984
"Bifidobacteriaceae","fixed",NA,"treatmentB. longum APC1472",0.00178971265456745,0.024814333391325,0.0721241480213661,23.999999999786,0.94310080580721,-0.0494245543395707,0.0530039796487056,0.76108379441926,NA,0.94310080580721
"Bifidobacteriaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.76108379441926,NA,NA
"Bifidobacteriaceae","ran_pars","Residual","sd__Observation",0.0464233669157613,NA,NA,NA,NA,NA,NA,0.76108379441926,NA,NA
