"metric","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"shannon","fixed",NA,"dietHFHS",0.0982220186689149,0.116559320082621,0.842678376978277,17.7231861457913,0.410636739701169,-0.14693446999377,0.3433785073316,0.024082771287219,0.250877916160479,0.821273479402338
"shannon","fixed",NA,"treatmentFOS+GOS",-0.146200940181493,0.117600651506056,-1.24319838631135,14.8648794970075,0.233046438700658,-0.397059389931491,0.104657509568506,0.024082771287219,0.250877916160479,0.699139316101975
"shannon","fixed",NA,"treatmentB. longum APC1472",0.020567836248435,0.117829629728426,0.174555723342591,18.2527783939001,0.863350319019646,-0.226737521513742,0.267873194010612,0.024082771287219,0.250877916160479,0.863350319019646
"shannon","ran_pars","dam_cage","sd__(Intercept)",0.134960132332125,NA,NA,NA,NA,NA,NA,0.024082771287219,0.250877916160479,NA
"shannon","ran_pars","cohort","sd__(Intercept)",0.164288498357525,NA,NA,NA,NA,NA,NA,0.024082771287219,0.250877916160479,NA
"shannon","ran_pars","Residual","sd__Observation",0.386413606525818,NA,NA,NA,NA,NA,NA,0.024082771287219,0.250877916160479,NA
"simpson","fixed",NA,"dietHFHS",0.00147762732716824,0.00947556824804083,0.155940761386396,18.2017558319679,0.877796190843877,-0.0184139976678082,0.0213692523221447,0.0309782711776236,0.207391872960279,1
"simpson","fixed",NA,"treatmentFOS+GOS",-0.0133971378644937,0.00953106497908617,-1.40562863582304,15.0239771013965,0.180176641432497,-0.0337092985627671,0.00691502283377977,0.0309782711776236,0.207391872960279,0.540529924297492
"simpson","fixed",NA,"treatmentB. longum APC1472",0.00417182542145364,0.00955147024947672,0.436773115812426,18.5901093953359,0.667306895094303,-0.01584950727264,0.0241931581155472,0.0309782711776236,0.207391872960279,1
"simpson","ran_pars","dam_cage","sd__(Intercept)",0.0102345428339289,NA,NA,NA,NA,NA,NA,0.0309782711776236,0.207391872960279,NA
"simpson","ran_pars","cohort","sd__(Intercept)",0.0119836409261057,NA,NA,NA,NA,NA,NA,0.0309782711776236,0.207391872960279,NA
"simpson","ran_pars","Residual","sd__Observation",0.033403993017443,NA,NA,NA,NA,NA,NA,0.0309782711776236,0.207391872960279,NA
"chao1","fixed",NA,"dietHFHS",14.1948161770602,17.1336584064221,0.828475497780423,15.684151166559,0.419830515796606,-22.1864547938674,50.5760871479879,0.00850619951275201,0.251215412001529,1
"chao1","fixed",NA,"treatmentFOS+GOS",-5.13049894386072,17.601341177163,-0.291483409827731,13.890005420617,0.77498930360558,-42.9096868803648,32.6486889926434,0.00850619951275201,0.251215412001529,1
"chao1","fixed",NA,"treatmentB. longum APC1472",-6.07263229368718,17.1748869126093,-0.353576260768788,16.1435966588654,0.728231683370526,-42.4554630004687,30.3101984130944,0.00850619951275201,0.251215412001529,1
"chao1","ran_pars","dam_cage","sd__(Intercept)",23.4008742268779,NA,NA,NA,NA,NA,NA,0.00850619951275201,0.251215412001529,NA
"chao1","ran_pars","cohort","sd__(Intercept)",13.3895772476418,NA,NA,NA,NA,NA,NA,0.00850619951275201,0.251215412001529,NA
"chao1","ran_pars","Residual","sd__Observation",47.3551463920912,NA,NA,NA,NA,NA,NA,0.00850619951275201,0.251215412001529,NA
